,subzone,resident_count,SUBZONE_N,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
167,MOUNT PLEASANT,6130.0,MOUNT PLEASANT,57762.0,50991.0
168,MOUNTBATTEN,91630.0,MOUNTBATTEN,115992.0,122124.0
169,NASSIM,77000.0,NASSIM,167846.0,143161.0
170,NATIONAL UNIVERSITY OF S'PORE,3000.0,NATIONAL UNIVERSITY OF S'PORE,152274.0,136841.0
171,NATURE RESERVE,34260.0,NATURE RESERVE,77887.0,85537.0
172,NEE SOON,8040.0,NEE SOON,31211.0,29106.0
173,NEWTON CIRCUS,1700.0,NEWTON CIRCUS,144243.0,108523.0
174,NORTH COAST,128520.0,NORTH COAST,206152.0,232612.0
175,NORTH-EASTERN ISLANDS,0.0,,,
176,NORTHLAND,276750.0,NORTHLAND,453295.0,424398.0
177,NORTHSHORE,2480.0,NORTHSHORE,21421.0,20407.0
178,ONE NORTH,5240.0,ONE NORTH,218906.0,261727.0
179,ONE TREE HILL,17030.0,ONE TREE HILL,49421.0,47696.0
180,ORANGE GROVE,13340.0,ORANGE GROVE,4616.0,11335.0
181,OXLEY,12340.0,OXLEY,18102.0,18362.0
182,PANDAN,0.0,PANDAN,71067.0,59393.0
183,PANG SUA,0.0,PANG SUA,7341.0,8996.0
184,PASIR PANJANG 1,36430.0,PASIR PANJANG 1,215690.0,227723.0
185,PASIR PANJANG 2,30360.0,PASIR PANJANG 2,108442.0,75393.0
186,PASIR RIS CENTRAL,234840.0,PASIR RIS CENTRAL,744502.0,777780.0
187,PASIR RIS DRIVE,529820.0,PASIR RIS DRIVE,736618.0,713082.0
188,PASIR RIS PARK,36320.0,PASIR RIS PARK,103706.0,125615.0
189,PASIR RIS WAFER FAB PARK,0.0,PASIR RIS WAFER FAB PARK,41996.0,63942.0
190,PASIR RIS WEST,325840.0,PASIR RIS WEST,478667.0,447846.0
191,PATERSON,1370.0,PATERSON,130610.0,43933.0
192,PAYA LEBAR EAST,0.0,PAYA LEBAR EAST,14940.0,15416.0
193,PAYA LEBAR NORTH,0.0,PAYA LEBAR NORTH,95993.0,87525.0
194,PAYA LEBAR WEST,0.0,PAYA LEBAR WEST,11629.0,18170.0
195,PEARL'S HILL,71580.0,PEARL'S HILL,188245.0,146658.0
196,PEI CHUN,104880.0,PEI CHUN,169291.0,202821.0
197,PENG SIANG,293650.0,PENG SIANG,403866.0,353251.0
198,PENJURU CRESCENT,0.0,PENJURU CRESCENT,45937.0,47977.0
